horizon_days,n_trades,total_notional,total_pnl,notional_weighted_return,equal_weight_mean_return,pct_of_all_notional
1,1774,105356763.0,-582064.8501317367,-0.005524703242180445,-0.0025697026198407457,1.0
3,1774,105356763.0,-409757.53484593134,-0.0038892380819058703,-0.002631261769616246,1.0
5,1774,105356763.0,-501240.9171408807,-0.004757558061468543,-0.007142621606036264,1.0
10,1774,105356763.0,-346414.8123429088,-0.0032880168532029483,-0.004026901339349803,1.0
20,1774,105356763.0,535786.0933722266,0.00508544566210929,0.005978857417352726,1.0
30,1774,105356763.0,1745498.1397149768,0.016567499703032607,0.024820183085540203,1.0
