horizon_days,n_trades,total_notional,total_pnl,notional_weighted_return,equal_weight_mean_return,pct_of_all_notional
1,2288,125375516239657.5,-2926167322681.416,-0.023339224518828666,-0.002189507595752228,1.0
3,2288,125375516239657.5,242063407359.38632,0.0019307071637230818,-0.003175738556713459,1.0
5,2288,125375516239657.5,6705615588612.599,0.05348425107015868,-0.005707790807699566,1.0
10,2288,125375516239657.5,8855599926433.963,0.07063260987501202,-0.004036386421765759,1.0
20,2288,125375516239657.5,1095141519855.9335,0.008734891410237955,0.0037808776118371636,1.0
30,2288,125375516239657.5,13440980403573.762,0.1072057831281914,0.020351414493398643,1.0
