ticker,status,entry_date,exit_date,holding_days,entry_price,exit_price,notional,return_pct,pnl,buy_trade_id,sell_trade_id
META,realized,2025-02-26,2026-01-15,323,671.0078125,620.2689208984375,250001.0,-0.07561594761843775,-18904.062520557054,3b948200d359,3c93ab44c434
META,realized,2026-01-12,2026-01-21,9,641.4207763671875,612.4356689453125,1001.0,-0.04518891262930061,-45.23410154192991,6851b0289882,b14990403c13
META,realized,2026-01-12,2026-02-01,20,641.4207763671875,705.8056640625,1001.0,0.10037855034875695,100.47892889910571,a08089d2b879,810906c4b361
META,realized,2026-01-21,2026-03-18,56,612.4356689453125,615.6799926757812,250001.0,0.00529741145883267,1324.3581621196263,62ca5001581c,c20502d686c7
BSX,realized,2026-01-12,2026-01-16,4,95.72000122070312,88.06999969482422,1001.0,-0.07992061667696991,-80.00053729364689,2408748418b9,a21352e4b8b0
BSX,realized,2026-01-12,2026-02-23,42,95.72000122070312,74.37000274658203,1001.0,-0.2230463665048861,-223.26941287139098,bb2599b1c770,c111f32b085f
PGR,realized,2026-01-12,2026-02-10,29,216.38803100585938,202.49522399902344,50001.0,-0.06420321374641903,-3210.2248905346983,06ca574109f1,77ba58ff7855
PGR,realized,2026-01-12,2026-03-21,68,216.38803100585938,204.99392700195312,1001.0,-0.05265588836379642,-52.708544252160216,2ed6ba26d677,8f8be5f2af85
PRGO,realized,2026-01-26,2026-03-30,63,13.727087020874023,9.473601341247559,1001.0,-0.30986076457142175,-310.1706253359932,b998eb48d94e,720fd38ca442
APOG,realized,2026-02-12,2026-02-26,14,41.10603713989258,39.6273307800293,1001.0,-0.03597297289522046,-36.00894586811568,457f5216ee8b,2851f119ce97
ROP,realized,2026-01-12,2026-02-12,31,431.2905578613281,319.00677490234375,100001.0,-0.26034370776808596,-26034.631120516366,94755ea15efe,052829297eb0
ROP,realized,2026-01-21,2026-02-19,29,403.6310729980469,331.15582275390625,1001.0,-0.17955815370163863,-179.73771185534028,9417738d9e3f,e370e30b2ada
AMCR,realized,2026-01-23,2026-03-17,53,42.99028778076172,40.0429573059082,1001.0,-0.06855805408617094,-68.62661214025711,26b62ef17867,346b240088b8
WSFS,realized,2026-03-04,2026-03-30,26,65.01903533935547,64.25117492675781,1001.0,-0.011809778606987066,-11.821588385594053,f7f3064c2327,f9ab8acafdb0
CPRT,realized,2026-01-23,2026-03-17,53,41.400001525878906,34.04999923706055,1001.0,-0.17753628062607474,-177.7138169067008,3b85746f8fa3,c888d65d1d22
ISRG,realized,2026-01-06,2026-02-12,37,592.8499755859375,478.6000061035156,1001.0,-0.1927131216788936,-192.90583480057248,3c0ba259945e,a7eef46be853
ISRG,realized,2026-03-02,2026-03-17,15,496.25,482.760009765625,1001.0,-0.02718385941435768,-27.211043273772038,f72513067867,366ffb043a22
UNP,realized,2026-01-12,2026-01-12,0,227.1268768310547,227.1268768310547,1001.0,0.0,0.0,cb06dac54fa0,46327ad77e6c
TOST,realized,2026-01-12,2026-02-12,31,36.20000076293945,26.139999389648438,1001.0,-0.2779005845654612,-278.17848515002663,51a9b47dbd18,7fbd9174e389
CRM,realized,2026-01-21,2026-01-21,0,221.0272216796875,221.0272216796875,1001.0,0.0,0.0,bec452a96d60,4bea1cbc6d2e
CRM,realized,2026-01-23,2026-02-01,9,227.4810791015625,210.28407287597656,1001.0,-0.07559752351055124,-75.6731210340618,61e5d821bec7,ec21e653afb6
CRM,realized,2026-01-26,2026-03-23,56,228.82769775390625,194.6930694580078,1001.0,-0.14917175075811265,-149.32092250887075,43f7338e1f26,8e9e3728ffdb
AVGO,realized,2025-03-18,2026-03-02,349,186.58895874023438,318.1526184082031,15001.0,0.7050988469855239,10577.187803629844,653bdb592e84,89e2651b3dbf
AVGO,realized,2026-01-06,2026-03-17,70,343.0503845214844,320.63739013671875,50001.0,-0.06533440974284044,-3266.785821551765,3a80b18fc961,7945709ce6fd
PODD,realized,2026-01-06,2026-02-10,35,294.3500061035156,252.41000366210938,100001.0,-0.1424834434236668,-14248.486825810105,3f6060299b5c,5b02708fa210
VSNT,realized,2026-01-26,2026-02-19,24,32.75481033325195,29.735706329345703,1001.0,-0.09217284341412665,-92.26501625754078,23ac2cd9cb3d,f287f549c26e
VSNT,realized,2026-02-06,2026-03-30,52,29.16158103942871,35.229488372802734,1001.0,0.2080788186748086,208.2868974934834,5e96ec594f6a,c792c674182b
DASH,realized,2026-01-12,2026-01-17,5,214.8699951171875,205.6699981689453,1001.0,-0.0428165735435728,-42.85939011711638,ede4a8d8c1f3,4611a6329980
DASH,realized,2026-01-16,2026-01-21,5,205.32000732421875,206.47999572753906,50001.0,0.005649660831584652,282.48869124006416,203592d5e057,9a42b78107d2
DASH,realized,2026-02-12,2026-03-21,37,161.13999938964844,159.97999572753906,1001.0,-0.007198731950497284,-7.205930682447781,df44cc51c4ee,60889a36da0a
MATX,realized,2026-01-26,2026-02-21,26,158.2083740234375,164.05792236328125,1001.0,0.03697369608878718,37.010669784875965,2c50080d9f9b,58836a917db6
MATX,realized,2026-02-06,2026-03-30,52,162.62074279785156,157.05166625976562,15001.0,-0.03424579449258002,-513.7211631831929,c83053d2f964,2dc4b58d35f6
PAYX,realized,2026-01-21,2026-02-12,22,104.73967742919922,91.29574584960938,1001.0,-0.12835567102712844,-128.48402669815556,7bb4c2338932,d4d0a485963a
PAYX,realized,2026-01-22,2026-03-11,48,104.73967742919922,92.80631256103516,1001.0,-0.1139335652072315,-114.04749877243873,13dafda3391c,4cc43cd16608
GIS,realized,2026-01-23,2026-03-11,47,43.82036590576172,39.98509979248047,1001.0,-0.08752245751505626,-87.60997997257131,98160aeaf6f8,a04eb03c317b
GIS,realized,2026-01-23,2026-03-17,53,43.82036590576172,38.09696960449219,1001.0,-0.13061041784950023,-130.74102826734972,d780ae51d856,0cf22264c848
GIS,realized,2026-02-23,2026-03-17,22,44.62675476074219,38.09696960449219,1001.0,-0.14631996413940906,-146.46628410354847,b81572bcf3cf,81a09fce681b
AWI,realized,2026-03-04,2026-03-30,26,169.22561645507812,159.39524841308594,1001.0,-0.058090307176406196,-58.1483974835826,d36e29e636ee,dbea4a299055
DIS,realized,2026-01-21,2026-02-12,22,113.19000244140625,102.37999725341797,100001.0,-0.0955031800938795,-9550.413512568044,5cf7b36c0d9a,772f987bec6a
BKNG,realized,2026-01-23,2026-01-23,0,203.47581481933594,203.47581481933594,1001.0,0.0,0.0,cab8fce28c1f,2751ca23833c
PANW,realized,2026-01-23,2026-02-10,18,180.17999267578125,165.50999450683594,15001.0,-0.0814185745658384,-1221.3600370621418,4b68919ee426,652ff0cbc0ac
PANW,realized,2026-02-19,2026-03-18,27,150.99000549316406,168.91000366210938,1001.0,0.11868334006886717,118.80202340893604,f6be06cb8972,1d0c263e27da
SPGI,realized,2026-01-21,2026-02-10,20,528.6974487304688,399.2205505371094,15001.0,-0.24489790617349283,-3673.713490508566,0eb2b36aee76,fe2c568eb156
SPGI,realized,2026-02-12,2026-02-12,0,395.3585510253906,395.3585510253906,1001.0,0.0,0.0,acd686b12b67,2e10c9f2e260
