date,daily_notional,daily_pnl_1d,cum_pnl_1d,daily_pnl_3d,cum_pnl_3d,daily_pnl_5d,cum_pnl_5d,daily_pnl_10d,cum_pnl_10d,daily_pnl_20d,cum_pnl_20d,daily_pnl_30d,cum_pnl_30d
2025-01-26,15001.0,14.451658187058353,14.451658187058353,-70.08584865910545,-70.08584865910545,-584.5478939442069,-584.5478939442069,-570.0973532686073,-570.0973532686073,1.4471773393319336,1.4471773393319336,49.26661017898658,49.26661017898658
2025-02-23,15001.0,-226.50311309457106,-212.05145490751272,-425.89657047365523,-495.9824191327607,-575.906536144599,-1160.454430088806,-885.2090442947273,-1455.3063975633345,-405.4742149144008,-404.0270375750689,-1713.235035302792,-1663.9684251238054
2025-02-26,250001.0,-5737.01069521781,-5949.062150125323,-6920.797150064327,-7416.779569197088,-6393.838556250655,-7554.29298633946,-20090.646019680924,-21545.952417244258,-23072.863724272753,-23476.890761847822,-32436.253695176336,-34100.22212030014
2025-02-28,15001.0,349.092211778705,-5599.969938346618,750.5481088359786,-6666.231460361109,1969.8790851462431,-5584.413901193217,1618.2926669817148,-19927.659750262545,2084.5803514819295,-21392.31041036589,3446.0400750777035,-30654.182045222435
2025-03-02,50001.0,-28.1578552793956,-5628.127793626013,-2262.1062762332044,-8928.337736594314,-4927.8251876144295,-10512.239088807646,-4632.156965374336,-24559.81671563688,-4824.57494412045,-26216.88535448634,-4547.679818934003,-35201.86186415644
2025-03-04,100001.0,-2265.3927244832507,-7893.520518109264,-2912.6477886213224,-11840.985525215638,-6148.923109311681,-16661.162198119328,-6148.923109311681,-30708.739824948563,-3559.9028527593946,-29776.788207245736,-9061.578613821997,-44263.44047797844
2025-03-11,15001.0,-143.20311134413313,-8036.723629453398,136.97570127479577,-11704.009823940842,238.66970947546687,-16422.49248864386,647.5252954729185,-30061.214529475645,-2307.846833761894,-32084.63504100763,-882.0455410002487,-45145.486018978685
2025-03-16,15001.0,66.51077709185904,-7970.212852361538,-215.58653610622633,-11919.596360047068,-711.5486047507713,-17134.041093394633,-56.188842018725566,-30117.40337149437,353.19425605137565,-31731.440784956256,594.0082033996603,-44551.477815579026
2025-03-17,1001.0,-1.4081134205649117,-7971.620965782104,-2.5917083072378446,-11922.188068354306,9.346754658957385,-17124.694338735677,43.89717019438054,-30073.506201299988,92.4879041365914,-31638.952880819663,-17.14244568087241,-44568.6202612599
2025-03-18,75005.0,623.332735084759,-7348.288230697344,835.9603246850343,-11086.227743669271,2678.1733728493114,-14446.520965886366,2572.1119051360847,-27501.394296163904,3863.6246585599683,-27775.328222259694,3493.6633123254524,-41074.95694893445
2025-06-03,50001.0,1953.1669001802854,-5395.121330517059,976.581121737088,-10109.646621932183,2343.7993488751204,-12102.721617011246,195.3162243474176,-27306.078071816486,7422.025838614089,-20353.302383645605,10547.08542817277,-30527.87152076168
2025-12-03,50001.0,530.7657629742833,-4864.355567542775,2376.6785632355086,-7732.968058696674,3248.084342806522,-8854.637274204724,1209.1539849662179,-26096.924086850267,2503.041040017264,-17850.261343628343,4615.887693171293,-25911.98382759039
