ticker,buy_date,sell_date,holding_days,pattern,n_posts_during_hold,n_posts_after_buy_30d,n_posts_before_buy_30d,post_date,days_post_minus_buy,sample_post,sample_platform,buy_trump_ret_10d,buy_trump_pnl_10d,realized_return_pct,realized_pnl
JPM,2026-01-17,2026-03-18,60,buy→post→sell (during hold),2,2,0,2026-01-17,0,"A front page Article in The Fake News Wall Street Journal states, without any verification, that I offered Jamie Dimon, of JPMorgan Chase, the job of Fed Chairman. This statement is totally untrue, th",truth_social,0.04000132121891767,40.04132254013658,-0.0495475331809338,-49.59708071411477
JPM,2026-01-11,2026-01-22,11,buy→post→sell (during hold),1,2,0,2026-01-17,6,"A front page Article in The Fake News Wall Street Journal states, without any verification, that I offered Jamie Dimon, of JPMorgan Chase, the job of Fed Chairman. This statement is totally untrue, th",truth_social,-0.07451693957385698,-3725.9214956324226,-0.0642854840397479,-964.3465460802596
JPM,2026-01-07,2026-01-12,5,buy→post within 30d (no sell yet in lot),0,2,0,2026-01-17,10,"A front page Article in The Fake News Wall Street Journal states, without any verification, that I offered Jamie Dimon, of JPMorgan Chase, the job of Fed Chairman. This statement is totally untrue, th",truth_social,-0.07143949317520824,-71.51093266838345,-0.007645504065007,-7.653149569072099
