horizon_days,n_trades,total_notional,total_pnl,notional_weighted_return,equal_weight_mean_return,pct_of_all_notional
1,513,43534511.0,185744.41455249954,0.004266601606079819,0.012563435860875065,1.0
3,513,43534511.0,-53275.063100100575,-0.0012237432298274943,0.009170557212879621,1.0
5,513,43534511.0,-49928.7730523006,-0.0011468780033454518,-0.0032969997130542113,1.0
10,513,43534511.0,-956611.4110634777,-0.021973633999552166,-0.027670551269270063,1.0
20,0,0.0,0.0,,,0.0
30,0,0.0,0.0,,,0.0
