horizon_days,n_trades,total_notional,total_pnl,notional_weighted_return,equal_weight_mean_return,pct_of_all_notional
1,2288,148906275.0,89330.05284488513,0.0005999079141888756,-0.0020624520073946593,1.0
3,2288,148906275.0,-228626.74906367075,-0.0015353735029881765,-0.0027168168938086442,1.0
5,2288,148906275.0,-451341.69890131743,-0.0030310455278081292,-0.003923551111473858,1.0
10,2288,148906275.0,1010177.438191651,0.006783981656862016,0.011131183333742049,1.0
20,4,450004.0,15554.36263901268,0.03456494306497871,0.031539727571741304,0.003022062031972796
30,4,450004.0,1380.4303012107139,0.003067595624062706,0.023737423667147383,0.003022062031972796
