ticker,buy_trade_id,sell_trade_id,buy_date,sell_date,holding_days,buy_amount_min,sell_amount_min,match_status
ACN,0e2610c0a0ab,c40a2a5a0696,2026-01-21,2026-02-21,31.0,1001.0,1001.0,matched
ACN,baaf61dea603,ab1d1435259a,2026-02-10,2026-03-17,35.0,500001.0,1000001.0,matched
BX,c2800687cc6d,f5c5f06b4845,2026-02-12,2026-02-12,0.0,100001.0,1001.0,matched
BX,a5574ab8cebe,52378f7ce451,2026-03-02,2026-03-14,12.0,50001.0,1001.0,matched
V,ae5525d7505c,8c0661c99630,2026-01-07,2026-01-21,14.0,1001.0,15001.0,matched
V,bfb86f00ab30,ddaebb2b3fb7,2026-01-12,2026-01-26,14.0,50001.0,1001.0,matched
V,065deb0f91c6,577951c401fe,2026-01-17,2026-02-06,20.0,1001.0,1001.0,matched
AVB,02ba8c55d6f1,5000783aaf9f,2026-01-06,2026-02-12,37.0,250001.0,1001.0,matched
UBER,82e1d9afb19a,aaac825bc99e,2026-01-06,2026-02-12,37.0,,1001.0,matched
UBER,f97371c1f0a8,7f8b5871574c,2026-01-07,2026-02-12,36.0,1001.0,100001.0,matched
NSIT,ccb90e04c299,d2e7c56c73a5,2026-03-04,2026-03-30,26.0,15001.0,50001.0,matched
NKE,a2d1566f6ebb,38d29a9480d5,2026-03-11,2026-03-11,0.0,100001.0,100001.0,matched
BA,b8e61011e963,6b296731a929,2026-02-10,2026-03-17,35.0,1000001.0,500001.0,matched
BA,fc8fa896686c,faa9b47780a9,2026-02-10,2026-03-26,44.0,1000001.0,1001.0,matched
PTC,4645289e45c7,d7f157026b92,2026-01-21,2026-03-26,64.0,15001.0,1001.0,matched
FLUT,825f5cb3e031,014829963468,2026-01-21,2026-03-17,55.0,1001.0,1001.0,matched
FLUT,f8f01ef2cc05,1c888e24fbec,2026-02-12,2026-03-26,42.0,1001.0,1001.0,matched
GEN,df8c83f9c00b,7108cbe45385,2026-01-12,2026-02-12,31.0,1001.0,1001.0,matched
GEN,83499ac04d75,92b351270aec,2026-02-12,2026-03-26,42.0,15001.0,1001.0,matched
QCOM,ec81b54f8929,b5248250d167,2026-02-10,2026-02-12,2.0,500001.0,100001.0,matched
QCOM,8f3ab6fab83e,1a28a59b1869,2026-02-12,2026-02-19,7.0,1001.0,1001.0,matched
OPLN,1622569b1b49,203e4b22e000,2026-03-04,2026-03-30,26.0,15001.0,1001.0,matched
MET,b089d9fe173d,bf19e027eb7e,2026-01-12,2026-02-12,31.0,1001.0,15001.0,matched
DDOG,14758c97b2af,43648ebbed13,2026-01-11,2026-01-12,1.0,15001.0,15001.0,matched
