ticker,buy_trade_id,sell_trade_id,buy_date,sell_date,holding_days,buy_amount_min,sell_amount_min,match_status
ISRG,21286416e3bf,,2026-03-23,,,15001.0,,open
DIOD,547523ad0d3a,,2026-02-12,,,15001.0,,open
DIOD,17bd0d70785f,,2026-02-21,,,1001.0,,open
UNP,,cd2b91f09ff1,,2026-01-08,,,15001.0,prior_position
UNP,cb06dac54fa0,46327ad77e6c,2026-01-12,2026-01-12,0.0,1001.0,1001.0,matched
UNP,,995eb036829b,,2026-01-18,,,15001.0,prior_position
UNP,,f5fc89b757b4,,2026-01-21,,,1001.0,prior_position
UNP,003b90be372e,,2026-03-02,,,15001.0,,open
UNP,ff893dd0f8a2,,2026-03-17,,,1001.0,,open
UNP,cb7ba6795875,,2026-03-31,,,1001.0,,open
ULTA,38b962216f58,,2026-01-06,,,100001.0,,open
ULTA,f40c2bc2ea34,,2026-01-06,,,100001.0,,open
ULTA,a75435fba51b,,2026-01-10,,,100001.0,,open
ULTA,67e71380474e,,2026-03-16,,,1001.0,,open
ULTA,f094fa523012,,2026-03-17,,,250001.0,,open
TOST,51a9b47dbd18,7fbd9174e389,2026-01-12,2026-02-12,31.0,1001.0,1001.0,matched
TOST,,0e0c81ff3be9,,2026-02-12,,,15001.0,prior_position
TOST,6ba55cb2905e,,2026-02-21,,,1001.0,,open
TOST,d11b26ffaf44,,2026-03-18,,,50001.0,,open
TOST,d0968311816b,,2026-03-23,,,1001.0,,open
APPN,98dbbc896053,,2026-01-31,,,,,open
CRM,bec452a96d60,4bea1cbc6d2e,2026-01-21,2026-01-21,0.0,15001.0,1001.0,matched
CRM,61e5d821bec7,ec21e653afb6,2026-01-23,2026-02-01,9.0,,1001.0,matched
CRM,43f7338e1f26,8e9e3728ffdb,2026-01-26,2026-03-23,56.0,1001.0,15001.0,matched
CRM,c1d3248f7e5f,,2026-02-06,,,1001.0,,open
CRM,bac466de94a1,,2026-02-12,,,1001.0,,open
CRM,cbc5ec729f47,,2026-02-12,,,1001.0,,open
CRM,4b67037c4c66,,2026-02-12,,,250001.0,,open
CRM,6fcd63ab854c,,2026-03-02,,,50001.0,,open
CRM,36f9fe0b8af5,,2026-03-11,,,250001.0,,open
CRM,f7a50f4ee301,,2026-03-11,,,15001.0,,open
CRM,7dd411724210,,2026-03-17,,,1001.0,,open
AVGO,653bdb592e84,89e2651b3dbf,2025-03-18,2026-03-02,349.0,15001.0,250001.0,matched
AVGO,3a80b18fc961,7945709ce6fd,2026-01-06,2026-03-17,70.0,50001.0,100001.0,matched
AVGO,3d0f68baef4b,,2026-01-31,,,1001.0,,open
AVGO,3e1e9e1363ad,,2026-02-02,,,100001.0,,open
AVGO,75692c9b9cda,,2026-02-10,,,1000001.0,,open
AVGO,9413ae08a2b4,,2026-03-06,,,100001.0,,open
AVGO,f81e9ae29418,,2026-03-11,,,50001.0,,open
AVGO,5aa59f0b719e,,2026-03-17,,,15001.0,,open
AVGO,d45d1cadc754,,2026-03-27,,,100001.0,,open
AVGO,e3ef58b7e00c,,2026-03-31,,,15001.0,,open
PODD,,a31758ad34e8,,2025-03-16,,,15001.0,prior_position
PODD,3f6060299b5c,5b02708fa210,2026-01-06,2026-02-10,35.0,100001.0,100001.0,matched
PODD,,b0f1d5e887ce,,2026-02-11,,,1001.0,prior_position
PODD,0a98945ebc4f,,2026-03-21,,,15001.0,,open
NOW,,9b87a1770c23,,2026-01-12,,,1001.0,prior_position
NOW,845fae92ee63,,2026-01-21,,,1001.0,,open
NOW,fc1e204ad748,,2026-02-10,,,1000001.0,,open
NOW,0fed626a9ea2,,2026-02-12,,,1001.0,,open
NOW,99988af67c45,,2026-02-23,,,1001.0,,open
NOW,1323f8d4963d,,2026-03-02,,,50001.0,,open
NOW,1985e08f5409,,2026-03-12,,,15001.0,,open
NOW,1e0dc43e81f5,,2026-03-18,,,100001.0,,open
NOW,b80cd873a4b4,,2026-03-28,,,1001.0,,open
VSNT,,03d57e250505,,2026-01-06,,,1001.0,prior_position
VSNT,23ac2cd9cb3d,f287f549c26e,2026-01-26,2026-02-19,24.0,100001.0,1001.0,matched
VSNT,5e96ec594f6a,c792c674182b,2026-02-06,2026-03-30,52.0,100001.0,1001.0,matched
VSNT,10f493d98fc1,,2026-02-12,,,1001.0,,open
VSNT,1d910c5e31c0,,2026-03-04,,,15001.0,,open
UFPT,,4ff632ccb46a,,2026-02-26,,,1001.0,prior_position
UFPT,,de24a16786d4,,2026-03-30,,,1001.0,prior_position
DASH,,5c0a5501008e,,2026-01-07,,,1001.0,prior_position
DASH,ede4a8d8c1f3,4611a6329980,2026-01-12,2026-01-17,5.0,50001.0,1001.0,matched
DASH,203592d5e057,9a42b78107d2,2026-01-16,2026-01-21,5.0,250001.0,50001.0,matched
DASH,df44cc51c4ee,60889a36da0a,2026-02-12,2026-03-21,37.0,1001.0,1001.0,matched
DASH,279e8a3680a8,,2026-03-02,,,15001.0,,open
DASH,70aa322ccd78,,2026-03-02,,,15001.0,,open
DASH,33f955f8e125,,2026-03-12,,,15001.0,,open
DASH,9681ae8556c8,,2026-03-17,,,500001.0,,open
DASH,0f4d843208fe,,2026-03-18,,,50001.0,,open
DASH,fd3555936b36,,2026-03-18,,,50001.0,,open
MATX,2c50080d9f9b,58836a917db6,2026-01-26,2026-02-21,26.0,15001.0,1001.0,matched
MATX,c83053d2f964,2dc4b58d35f6,2026-02-06,2026-03-30,52.0,15001.0,15001.0,matched
MATX,6ec4ae61b04f,,2026-03-04,,,15001.0,,open
PAYX,7bb4c2338932,d4d0a485963a,2026-01-21,2026-02-12,22.0,1001.0,,matched
PAYX,13dafda3391c,4cc43cd16608,2026-01-22,2026-03-11,48.0,15001.0,1001.0,matched
PAYX,72772493d294,,2026-01-23,,,15001.0,,open
PAYX,e09afbb4141a,,2026-01-23,,,15001.0,,open
PAYX,fcd350b3e97b,,2026-01-23,,,1001.0,,open
PAYX,55afb99b6e6b,,2026-02-10,,,500001.0,,open
PAYX,fb55505ccda7,,2026-03-11,,,100001.0,,open
PAYX,280920134ff3,,2026-03-17,,,1001.0,,open
PAYX,3d70c6348795,,2026-03-23,,,15001.0,,open
PAYX,7554afda4caa,,2026-03-26,,,1001.0,,open
PAYX,f20852362276,,2026-03-26,,,1001.0,,open
RRC,,85bf0e96aa84,,2026-01-21,,,1001.0,prior_position
GIS,,f8e2d34f5f62,,2026-01-21,,,100001.0,prior_position
GIS,98160aeaf6f8,a04eb03c317b,2026-01-23,2026-03-11,47.0,1001.0,1001.0,matched
GIS,d780ae51d856,0cf22264c848,2026-01-23,2026-03-17,53.0,1001.0,1001.0,matched
GIS,b81572bcf3cf,81a09fce681b,2026-02-23,2026-03-17,22.0,1001.0,1001.0,matched
GIS,,756e8ceacc40,,2026-03-26,,,1001.0,prior_position
AWI,d36e29e636ee,dbea4a299055,2026-03-04,2026-03-30,26.0,15001.0,1001.0,matched
NTRA,,6029bf0d733a,,2026-02-11,,,1001.0,prior_position
NTRA,,04b8b2521120,,2026-03-17,,,1001.0,prior_position
DIS,5cf7b36c0d9a,772f987bec6a,2026-01-21,2026-02-12,22.0,100001.0,100001.0,matched
DIS,ea5b1ed08ad6,,2026-01-23,,,1001.0,,open
DIS,d62d4598dc09,,2026-03-17,,,1001.0,,open
DIS,129792b779ee,,2026-03-18,,,100001.0,,open
DIS,d7e6ad60c629,,2026-03-23,,,1001.0,,open
DIS,dd4befe1b011,,2026-03-23,,,1001.0,,open
DIS,b194d0008214,,2026-03-26,,,1001.0,,open
D,,984a84304554,,2026-01-12,,,1001.0,prior_position
D,6cfeb3c31de3,,2026-01-23,,,15001.0,,open
D,367cd9df50e8,,2026-03-23,,,1001.0,,open
BKNG,cab8fce28c1f,2751ca23833c,2026-01-23,2026-01-23,0.0,1001.0,1001.0,matched
BKNG,,bb575ababb26,,2026-02-03,,,1001.0,prior_position
BKNG,,0c70747db193,,2026-02-10,,,500001.0,prior_position
BKNG,a29e54028192,,2026-02-12,,,100001.0,,open
BKNG,5da906e175cc,,2026-02-19,,,1001.0,,open
BKNG,627c584bfc0b,,2026-02-23,,,100001.0,,open
BKNG,e402092e5757,,2026-02-23,,,100001.0,,open
BKNG,8e779cf184c5,,2026-02-24,,,100001.0,,open
BKNG,dfbabb0a613a,,2026-03-18,,,100001.0,,open
BKNG,5ec7041d061a,,2026-03-21,,,15001.0,,open
BKNG,6a94f1d6d5ac,,2026-03-21,,,1001.0,,open
RDDT,,b0c65ed8be61,,2026-02-12,,,1001.0,prior_position
RDDT,21ca14871044,,2026-02-23,,,1001.0,,open
PANW,4b68919ee426,652ff0cbc0ac,2026-01-23,2026-02-10,18.0,15001.0,500001.0,matched
PANW,f6be06cb8972,1d0c263e27da,2026-02-19,2026-03-18,27.0,1001.0,50001.0,matched
PANW,75219f2300d1,,2026-03-02,,,50001.0,,open
PANW,69521e184684,,2026-03-11,,,15001.0,,open
PANW,1caed67c89d1,,2026-03-12,,,15001.0,,open
PANW,5004ff6419a0,,2026-03-17,,,1001.0,,open
PANW,0f8ad38917d1,,2026-03-21,,,1001.0,,open
SPGI,0eb2b36aee76,fe2c568eb156,2026-01-21,2026-02-10,20.0,15001.0,500001.0,matched
SPGI,acd686b12b67,2e10c9f2e260,2026-02-12,2026-02-12,0.0,1001.0,100001.0,matched
SPGI,f68eaf55bd03,,2026-02-23,,,1001.0,,open
SPGI,451618b094f0,,2026-03-11,,,15001.0,,open
SPGI,541ca7f5cafe,,2026-03-18,,,100001.0,,open
SABR,,f5fe6868b372,,2026-02-26,,,1001.0,prior_position
SABR,6c6833180aa3,,2026-03-30,,,15001.0,,open
MSFT,68209b4e2646,b0b255ef4497,2025-02-23,2026-01-12,323.0,15001.0,1001.0,matched
MSFT,23647be40b13,8175ae550219,2026-01-06,2026-01-12,6.0,500001.0,100001.0,matched
MSFT,99a4d5da2e37,95d00d0ecafa,2026-01-21,2026-02-10,20.0,15001.0,5000001.0,matched
MSFT,42a59fac1f04,c74d2324dbc1,2026-01-23,2026-02-13,21.0,250001.0,500001.0,matched
MSFT,b26168f2d15c,,2026-01-26,,,15001.0,,open
MSFT,4589f60f904b,,2026-02-12,,,1001.0,,open
MSFT,b68e80c5317e,,2026-02-12,,,250001.0,,open
MSFT,33de58cab655,,2026-02-19,,,1001.0,,open
MSFT,3c29cf0951a9,,2026-03-11,,,1000001.0,,open
MSFT,b464347ba8d2,,2026-03-17,,,50001.0,,open
MSFT,2e2aa3427e9c,,2026-03-17,,,15001.0,,open
MSFT,ec32960201a6,,2026-03-17,,,15001.0,,open
MSFT,a7253931fde5,,2026-03-18,,,250001.0,,open
MSFT,e0e84c51a652,,2026-03-18,,,250001.0,,open
