date,daily_notional,daily_pnl_1d,cum_pnl_1d,daily_pnl_3d,cum_pnl_3d,daily_pnl_5d,cum_pnl_5d,daily_pnl_10d,cum_pnl_10d,daily_pnl_20d,cum_pnl_20d,daily_pnl_30d,cum_pnl_30d
2025-08-19,625001.5,-1876.2847199879513,-1876.2847199879513,7862.942567149749,7862.942567149749,16059.053093819282,16059.053093819282,-8753.594554669864,-8753.594554669864,26071.374314843928,26071.374314843928,11155.62180352672,11155.62180352672
2026-01-14,75000.5,2324.5721107527806,448.2873907648293,1035.8231827702898,8898.76574992004,2288.4317965025643,18347.484890321848,2782.2584700532934,-5971.336084616571,-1342.408967599513,24728.965347244415,-6290.042452087823,4865.579351438896
2026-05-08,125375515539655.5,1348074743533.7979,1348074743982.0852,3947115369086.605,3947115377985.3706,1913677666891.4517,1913677685238.9365,2471736255529.013,2471736249557.6772,0.0,24728.965347244415,0.0,4865.579351438896
