horizon_days,n_trades,total_notional,total_pnl,notional_weighted_return,equal_weight_mean_return,pct_of_all_notional
1,2288,125375516239657.5,1348074743982.0847,0.010752296655793752,-0.001495119760425435,1.0
3,2288,125375516239657.5,3947115377985.37,0.03148234596649947,-0.004791222023723572,1.0
5,2288,125375516239657.5,1913677685238.9363,0.01526356774141538,-0.005464381014092198,1.0
10,2288,125375516239657.5,2471736249557.6763,0.019714664582779536,0.006985785394848722,1.0
20,4,700002.0,24728.965347244415,0.03532699241894225,0.03153974858091414,5.5832432120313975e-09
30,4,700002.0,4865.579351438896,0.006950807785461893,0.023737422755631652,5.5832432120313975e-09
