horizon_days,n_trades,total_notional,total_pnl,notional_weighted_return,equal_weight_mean_return,pct_of_all_notional
1,1774,105356763.0,-96511.6014729341,-0.0009160456217977587,-0.006296739012638822,1.0
3,1774,105356763.0,-175491.2880723014,-0.0016656860278850955,-0.006161149430708971,1.0
5,1774,105356763.0,-401576.59733749763,-0.0038115882255940004,-0.004113097404419621,1.0
10,1774,105356763.0,1966201.557270689,0.018662319354578964,0.022335958331334435,1.0
20,4,450004.0,15554.36263901268,0.03456494306497871,0.031539727571741304,0.00427123980640901
30,4,450004.0,1380.4303012107139,0.003067595624062706,0.023737423667147383,0.00427123980640901
