ticker,net_notional,n_open_lots,n_open_buys,first_buy_date,latest_buy_date,days_held,status,ret_1d,pnl_1d,ret_3d,pnl_3d,ret_5d,pnl_5d,ret_10d,pnl_10d,ret_20d,pnl_20d,ret_30d,pnl_30d
AMZN,2396015.0,15,15,2026-01-23,2026-03-27,127,仍持有,-0.0030941858246898127,-154.71238542031531,0.01609797117316454,804.9146566294002,0.000585379609904304,29.2695658748251,-0.1205887100530255,-6029.556091361328,-0.14170429365576107,-7085.356387081709,-0.10733399304179833,-5366.806986082958
AAPL,2200008.0,8,8,2026-01-23,2026-03-25,127,仍持有,0.029712973556775536,7428.273102167441,0.03386559742980822,8466.433223049486,0.04612162507633092,11530.452390707806,0.1212706937836494,30317.79471660613,0.07413744520629502,18534.435439018962,0.04871459595089281,12178.697702319152
MSFT,2062013.0,13,13,2026-01-26,2026-03-31,124,仍持有,0.02190190950704457,328.5505445151756,-0.07820868368034468,-1173.2084638888507,-0.09974903226887201,-1496.335233065349,-0.12052389114637234,-1807.9788910867314,-0.1709451809900173,-2564.3486600312494,-0.13522547824041395,-2028.5173990844496
CMCSA,2046006.0,6,6,2026-01-12,2026-03-25,138,仍持有,-0.019958720087598057,-19958.740046318144,-0.012995682235362677,-12995.695231044912,-0.01961054468323797,-19610.564293782652,-0.0008104163762685848,-810.417186684961,0.12487163425124319,124871.75912287744,0.07195286902108836,71952.94097395737
PTC,2018006.0,6,6,2026-01-23,2026-03-02,127,仍持有,0.022388089900561896,22.410477990462457,-0.001418500853613215,-1.4199193544668283,-0.03706669871382543,-37.10376541253925,-0.03959540022889125,-39.63499562912014,-0.06944612402382193,-69.51557014784575,0.00789440473735807,7.902299142095427
COST,1862012.0,12,12,2026-01-06,2026-03-25,144,仍持有,-0.007333164349704689,-733.3237681348187,0.04024304728976098,4024.344972023388,0.05941968304967995,5942.027724651045,0.1054550090726585,10545.606362274923,0.1018857691781847,10188.678803587649,0.11255156421609656,11255.268973173872
MCHP,1530005.0,5,5,2026-02-10,2026-03-17,109,仍持有,0.0506114874872657,25305.794355120335,0.022118053130451468,11059.048683278865,0.029273949926584573,14637.004237242214,-0.012303205311921236,-6151.6149591659305,-0.13898806728369342,-69494.172629914,-0.14723305323882854,-73616.67385246752
VOO,1500002.0,2,2,2026-03-02,2026-03-25,89,仍持有,-0.008807657007082303,-8807.66581473931,-0.0070809449963226264,-7080.952077267622,-0.0118490677374874,-11849.079586555137,-0.02548798794065806,-25488.013428645998,-0.07685386340537326,-76853.94025923667,0.014391271215217102,14391.285606488316
GOOGL,1445009.0,9,9,2026-01-10,2026-03-31,140,仍持有,0.012384857350936408,1238.4981199509916,0.0027723130897238896,277.2340812854787,-0.02971121600612806,-2971.151311828812,0.008105836360460701,810.5917418824306,-0.04001688455173945,-4001.7284720584967,-0.057132508393963305,-5713.307971904725
AVGO,1381008.0,8,8,2026-01-31,2026-03-31,119,仍持有,-0.03255719444726658,-32.589751641713846,-0.062214905191602554,-62.27712009679416,0.0387485106815306,38.78725919221213,0.004318885019996121,4.323203905016117,-0.05215782619538011,-52.209984021575494,-0.02959739911887763,-29.626996517996506
