horizon_days,n_trades,total_notional,total_pnl,notional_weighted_return,equal_weight_mean_return,pct_of_all_notional
1,513,43534511.0,359414.0933664309,0.008255843125616615,-0.0008592875159405236,1.0
3,513,43534511.0,648753.3519562815,0.01490204752630118,-0.005009285921558345,1.0
5,513,43534511.0,503088.12737154955,0.011556076221266148,-0.0007491019467916985,1.0
10,513,43534511.0,126749.85051835481,0.0029114798261626234,-0.004073124552056533,1.0
20,513,43534511.0,-659495.7225412012,-0.015148802809366601,-0.003744616230907509,1.0
30,513,43534511.0,155646.94781848902,0.0035752543038438866,0.004949711606335272,1.0
