horizon_days,n_trades,total_notional,total_pnl,notional_weighted_return,equal_weight_mean_return,pct_of_all_notional
1,2288,148906275.0,-222802.65880245456,-0.0014962610461006734,-0.0021895074609599606,1.0
3,2288,148906275.0,238568.77242287935,0.0016021404902035147,-0.00317573855115392,1.0
5,2288,148906275.0,1785.3317986951442,1.1989634410605895e-05,-0.005707790638817217,1.0
10,2288,148906275.0,-219695.21148745355,-0.0014753925681604322,-0.00403638653014461,1.0
20,2288,148906275.0,-124232.51807940885,-0.0008343000862751341,0.0037808776202046955,1.0
30,2288,148906275.0,1901052.5397106265,0.012766772519899692,0.020351414949404983,1.0
