doc_id,url,local_path,fetched_at,person,report_type,filing_date,period,notes,status,file_size_bytes,pages,equity_keyword_hits,bond_keyword_hits,likely_equity_filing,disclosure_date
trump_278t_2025_08_19_a,https://www.whitehouse.gov/wp-content/uploads/2025/08/President-Donald-J.-Trump-Periodic-Transaction-Report-8.12.25-1.pdf,/Users/haijiang/Desktop/Trump_following/data/raw/disclosures/trump_278t_2025_08_19_a.pdf,2026-05-31T06:33:56.713120+00:00,Donald Trump,periodic_278t,2025-08-12,,Aug 2025 PTR part 1 (mostly munis),ok,6974883,22.0,0.0,145.0,False,2025-08-19
trump_278t_2025_08_19_b,https://www.whitehouse.gov/wp-content/uploads/2025/08/President-Donald-J.-Trump-Periodic-Transaction-Report-8.12.25-2.pdf,/Users/haijiang/Desktop/Trump_following/data/raw/disclosures/trump_278t_2025_08_19_b.pdf,2026-05-31T06:33:59.033544+00:00,Donald Trump,periodic_278t,2025-08-12,,Aug 2025 PTR part 2 (bonds),ok,2388490,7.0,0.0,126.0,False,2025-08-19
trump_278t_2025_11_17,https://www.whitehouse.gov/wp-content/uploads/2025/11/President-Donald-J.-Trump-Periodic-Transaction-Report-11.14.25.pdf,/Users/haijiang/Desktop/Trump_following/data/raw/disclosures/trump_278t_2025_11_17.pdf,2026-05-31T06:34:00.047350+00:00,Donald Trump,periodic_278t,2025-11-14,,Nov 2025 PTR (bonds),ok,864691,3.0,0.0,42.0,False,2025-11-17
trump_278t_2026_01_14,https://www.whitehouse.gov/wp-content/uploads/2026/01/President-Donald-J.-Trump-Periodic-Transaction-Report-1.14.2026-.pdf,/Users/haijiang/Desktop/Trump_following/data/raw/disclosures/trump_278t_2026_01_14.pdf,2026-05-31T06:34:03.141915+00:00,Donald Trump,periodic_278t,2026-01-14,,Jan 2026 PTR (bonds),ok,3040217,8.0,1.0,85.0,False,2026-01-14
trump_278t_2026_04_23,https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/CD75555856A7D2E485258DE4002DD4A0/$FILE/Donald-J-Trump-4.20.2026-278T.pdf,/Users/haijiang/Desktop/Trump_following/data/raw/disclosures/trump_278t_2026_04_23.pdf,2026-05-31T06:34:07.168418+00:00,Donald Trump,periodic_278t,2026-04-20,,Apr 2026 PTR (bonds),ok,2174415,8.0,2.0,70.0,False,2026-04-23
trump_278t_2026_05_08_bond,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/405E4EC4E27BE8D185258DF7002DD1C0/$FILE/Trump,%20Donald%20J.-05.08.2026-278T(1).pdf",/Users/haijiang/Desktop/Trump_following/data/raw/disclosures/trump_278t_2026_05_08_bond.pdf,2026-05-31T06:34:09.275041+00:00,Donald Trump,periodic_278t,2026-05-08,,May 2026 PTR part 1 (bonds),"error: URL not reachable: https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/405E4EC4E27BE8D185258DF7002DD1C0/$FILE/Trump,%20Donald%20J.-05.08.2026-278T(1).pdf",0,,,,,2026-05-08
trump_278t_2026_05_08_equity,"https://extapps2.oge.gov/201/Presiden.nsf/PAS+Index/405E4EC4E27BE8D185258DF7002DD1C0/$FILE/Trump,%20Donald%20J.-05.08.2026-278T(2).pdf",/Users/haijiang/Desktop/Trump_following/data/raw/disclosures/trump_278t_2026_05_08_equity.pdf,2026-05-31T06:34:12.573334+00:00,Donald Trump,periodic_278t_equity,2026-05-08,2026-Q1,May 2026 PTR part 2 — 113pp Q1 equity/ETF bulk (~3642 trades),ok,13265804,113.0,84.0,0.0,True,2026-05-12
